180205-04,2,0,R,L,mean,nice,1,1,2/5/2018,9:51
180205-04,2,1,L,NA,polite,nice,0,NA,2/5/2018,9:51
180205-04,2,2,R,NA,rude,nice,0,NA,2/5/2018,9:51
180205-04,2,3,R,NA,rude,nice,1,NA,2/5/2018,9:51
180205-04,2,4,R,NA,polite,nice,1,NA,2/5/2018,9:51
180205-04,2,5,R,NA,rude,nice,1,NA,2/5/2018,9:51
180205-04,2,6,L,NA,polite,nice,1,NA,2/5/2018,9:51
180205-04,2,7,R,NA,rude,nice,1,NA,2/5/2018,9:51
180205-04,2,8,L,NA,polite,nice,0,NA,2/5/2018,9:51
180205-04,2,9,R,NA,rude,nice,1,NA,2/5/2018,9:51
180205-04,2,10,L,NA,polite,nice,1,NA,2/5/2018,9:51
180205-04,2,11,L,NA,rude,nice,1,NA,2/5/2018,9:51
180205-04,2,12,R,NA,polite,nice,1,NA,2/5/2018,9:51
