180417-03,1,0,L,R,mean,nice,1,1,4/17/2018,11:00
180417-03,1,1,L,NA,polite,nice,1,NA,4/17/2018,11:00
180417-03,1,2,L,NA,nice,nice,1,NA,4/17/2018,11:00
180417-03,1,3,L,NA,mean,nice,1,NA,4/17/2018,11:00
180417-03,1,4,R,NA,nice,nice,1,NA,4/17/2018,11:00
180417-03,1,5,L,NA,mean,nice,0,NA,4/17/2018,11:00
180417-03,1,6,R,NA,polite,nice,1,NA,4/17/2018,11:00
180417-03,1,7,R,NA,nice,nice,1,NA,4/17/2018,11:00
180417-03,1,8,L,NA,mean,nice,0,NA,4/17/2018,11:00
180417-03,1,9,L,NA,rude,nice,1,NA,4/17/2018,11:00
180417-03,1,10,R,NA,polite,nice,0,NA,4/17/2018,11:00
180417-03,1,11,R,NA,rude,nice,1,NA,4/17/2018,11:00
180417-03,1,12,L,NA,rude,nice,1,NA,4/17/2018,11:00
