180508-01,2,0,R,L,mean,nice,1,1,5/8/2018,8:34
180508-01,2,1,R,NA,polite,nice,1,NA,5/8/2018,8:34
180508-01,2,2,R,NA,rude,nice,0,NA,5/8/2018,8:34
180508-01,2,3,R,NA,rude,nice,1,NA,5/8/2018,8:34
180508-01,2,4,R,NA,polite,nice,1,NA,5/8/2018,8:34
180508-01,2,5,R,NA,rude,nice,1,NA,5/8/2018,8:34
180508-01,2,6,R,NA,polite,nice,0,NA,5/8/2018,8:34
180508-01,2,7,R,NA,rude,nice,1,NA,5/8/2018,8:34
180508-01,2,8,L,NA,polite,nice,0,NA,5/8/2018,8:34
180508-01,2,9,R,NA,rude,nice,1,NA,5/8/2018,8:34
180508-01,2,10,R,NA,polite,nice,0,NA,5/8/2018,8:34
180508-01,2,11,R,NA,rude,nice,0,NA,5/8/2018,8:34
180508-01,2,12,R,NA,polite,nice,1,NA,5/8/2018,8:34
